BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
0.00120278	0.00123492	0.00188756	0.00173769	0.00185464	0.00120619	316.8
0.00120181	0.00123411	0.00188626	0.00173826	0.00185358	0.00120524	316.85
0.00120084	0.00123327	0.00188485	0.00173913	0.00185246	0.00120429	316.9
0.00119996	0.00123212	0.00188322	0.00174056	0.0018512	0.00120338	316.95
0.00119948	0.00122978	0.0018816	0.00174189	0.00184994	0.00120271	317.0
0.00119908	0.00122714	0.00188019	0.00174245	0.00184879	0.00120208	317.05
0.00119868	0.00122451	0.00187888	0.00174257	0.00184768	0.00120144	317.1
0.00119828	0.00122189	0.00187764	0.00174236	0.0018466	0.00120081	317.15
0.00119788	0.00121929	0.00187644	0.00174187	0.00184553	0.00120017	317.2
0.00119748	0.00121671	0.0018753	0.00174108	0.00184447	0.00119954	317.25
0.00119708	0.00121414	0.00187418	0.00173998	0.0018434	0.00119891	317.3
0.00119669	0.00121159	0.0018731	0.0017385	0.00184232	0.00119828	317.35
0.00119629	0.00120906	0.00187205	0.00173643	0.00184121	0.00119765	317.4
0.00119587	0.00120711	0.00187101	0.00173326	0.00183998	0.00119707	317.45
0.00119546	0.00120707	0.00187	0.00173011	0.00183878	0.0011967	317.5
0.00119505	0.00120745	0.001869	0.00172809	0.00183771	0.00119637	317.55
0.00119464	0.00120784	0.00186803	0.00172659	0.00183672	0.00119605	317.6
0.00119422	0.00120823	0.00186707	0.00172543	0.00183579	0.00119572	317.65
0.00119381	0.00120863	0.00186614	0.00172453	0.0018349	0.0011954	317.7
0.0011934	0.00120903	0.00186522	0.00172386	0.00183406	0.00119507	317.75
0.00119298	0.00120942	0.00186433	0.00172341	0.00183325	0.00119475	317.8
0.00119257	0.00120982	0.00186346	0.00172322	0.00183249	0.00119443	317.85
0.00119216	0.00121021	0.00186262	0.00172336	0.00183181	0.0011941	317.9
0.00119173	0.00121039	0.00186187	0.00172411	0.00183125	0.00119374	317.95
0.00119116	0.00120952	0.00186112	0.00172489	0.00183072	0.00119313	318.0
0.00119055	0.00120844	0.00186031	0.00172516	0.00183006	0.00119248	318.05
0.00118995	0.00120737	0.00185946	0.00172517	0.00182934	0.00119183	318.1
0.00118935	0.0012063	0.00185858	0.00172503	0.00182858	0.00119118	318.15
0.00118875	0.00120522	0.00185767	0.00172475	0.00182779	0.00119052	318.2
0.00118815	0.00120415	0.00185674	0.00172434	0.00182695	0.00118987	318.25
0.00118755	0.00120308	0.00185578	0.00172381	0.00182607	0.00118922	318.3
0.00118695	0.00120201	0.00185478	0.00172312	0.00182515	0.00118857	318.35
0.00118635	0.00120094	0.00185371	0.00172219	0.00182413	0.00118793	318.4
0.00118584	0.00120009	0.00185251	0.00172064	0.00182294	0.00118738	318.45
0.00118558	0.00120039	0.00185133	0.00171913	0.00182176	0.00118718	318.5
0.00118537	0.00120088	0.00185032	0.00171836	0.00182081	0.00118705	318.55
0.00118517	0.00120135	0.00184938	0.0017179	0.00181996	0.00118692	318.6
0.00118496	0.00120183	0.00184849	0.00171769	0.00181919	0.00118679	318.65
0.00118476	0.00120231	0.00184765	0.0017177	0.00181848	0.00118666	318.7
0.00118455	0.00120279	0.00184685	0.00171794	0.00181783	0.00118652	318.75
0.00118435	0.00120327	0.0018461	0.00171846	0.00181726	0.00118639	318.8
0.00118414	0.00120375	0.00184539	0.00171933	0.00181676	0.00118626	318.85
0.00118394	0.00120418	0.00184474	0.00172077	0.00181637	0.00118613	318.9
